time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,hourly_expenditure,avg_expenditure_hourly,avg_transactions_day,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68.63740000000001,0.3248,68.31260000000002,0,NaN,0,0,0,0,0,0,0,0,972000,NaN,3749983.645148148,0,0,0,,,,,,0,0
1,65.34440000000001,0.0047,65.33970000000001,0,NaN,0,0,0,0,0,0,0,0,903687.3999999999,0,3749983.645148148,0,0,0,,,,,,0,0
2,57.73510000000001,0.0045,57.73060000000001,0,NaN,0.092,0.282,2,1,1,1,0,0,838347.7000000002,0,3749983.645148148,0.024691358024691357,0,0,,,,,,100,0
3,57.926500000000004,0.004,57.92250000000001,0,0.029,0,0,2,0,2,0,2,0,784536.4999999999,0.004777777940034866,3749983.64037037,0.024691358024691357,0.024691358024691357,0,,,,,,0,0
4,63.410500000000006,0.0044,63.40610000000001,0,0.009333333333333334,0,0.219,8,0,6,2,6,0,726614.3000000002,0.01435802411288023,3749983.626012346,0.09876543209876543,0.07407407407407407,0,,,,,,0,0
5,57.28299999999999,0.0043,57.278699999999986,0,0.004583333333333333,0,0.19,13,0,12,1,12,0,669310.4,0.04923456907272339,3749983.5767777767,0.16049382716049382,0.14814814814814814,0,,,,,,0,0
6,58.53669999999999,0.02,58.516699999999986,0,0.0036666666666666666,0,0.207,20,0,15,5,15,0,614683.6999999998,0.08513580216094851,3749983.4916419745,0.24691358024691357,0.18518518518518517,0,,,,,,0,0
7,64.40580000000001,0.8315,63.574300000000015,0,0.002037037037037037,0,0.086,28,0,27,1,27,0,570553.4000000001,0.12091358052566648,3749983.370728394,0.345679012345679,0.3333333333333333,0,,,,,,0,0
8,74.2393,20.48100000000001,53.75829999999999,0,0.004875,0,0.252,32,0,24,8,23,1,508183.6,0.1845802473835647,3749983.1861481466,0.3950617283950617,0.2839506172839506,0.012345679012345678,,,,,,0,0
9,79.60789999999999,49.82340000000003,29.78449999999996,0.069,0.0030833333333333333,0,0.079,41,0,36,5,31,5,481574.6000000002,0.198259259108454,3749982.9878888875,0.5061728395061729,0.38271604938271603,0.06172839506172839,,,,,,0,0
10,92.48409999999998,65.7189,26.76519999999998,0.073,0.004269230769230769,0.058,0.174,37,1,27,10,22,4,444899.1000000002,0.26139505999162793,3749982.7264938275,0.4567901234567901,0.2716049382716049,0.04938271604938271,,,,,,10,0
11,95.95360000000002,135.90029999999996,-39.946699999999936,0.093,0.008615384615384615,0,0.21,17,0,13,4,10,3,417226,0.21608642023056746,3749982.5104074073,0.20987654320987653,0.12345679012345678,0.037037037037037035,,,,,,0,0
12,93.80500000000004,91.0097,2.79530000000004,0,0.00275,0,0.161,25,0,20,5,20,0,408619.90000000014,0.10861728433519602,3749982.401790123,0.30864197530864196,0.24691358024691357,0,,,,,,0,0
13,84.06169999999997,71.59690000000002,12.464799999999954,0,0.002037037037037037,0.027,0.105,33,1,28,5,27,0,376170.2000000001,0.15165432170033455,3749982.2501358013,0.4074074074074074,0.3333333333333333,0,,,,,,20,0
14,86.1392,58.41649999999999,27.72270000000001,0,0.0025,0.011,0.125,37,1,23,14,22,0,334771.9000000001,0.19509876426309347,3749982.055037037,0.4567901234567901,0.2716049382716049,0,,,,,,7.142857142857142,0
15,86.48079999999997,19.1527,67.32809999999998,0,0.001896551724137931,0,0.151,42,0,29,13,29,0,300171.30000000016,0.1883456795476377,3749981.8666913575,0.5185185185185185,0.35802469135802467,0,,,,,,0,0
16,91.35660000000004,5.7706,85.58600000000004,0,0.002391304347826087,0.025,0.213,47,1,24,23,23,0,260232.89999999997,0.24066666699945927,3749981.6260246905,0.5802469135802469,0.2839506172839506,0,,,,,,4.3478260869565215,0
17,115.97540000000001,0.29589999999999994,115.6795,0,0.0013414634146341464,0.018,0.292,58,1,42,16,41,0,254640.50000000003,0.24180246843025088,3749981.384222222,0.7160493827160493,0.5061728395061729,0,,,,,,6.25,0
18,130.09660000000002,1.0512,129.04540000000003,0,0.0013095238095238095,0.039,0.366,65,1,43,22,42,0,230508.90000000005,0.35462962929159403,3749981.0295925927,0.8024691358024691,0.5185185185185185,0,,,,,,4.545454545454546,0
19,113.3747,1.6817,111.693,0,0.0011956521739130434,0.084,0.224,72,2,48,24,46,0,203101.10000000003,0.410938270855695,3749980.618654322,0.8888888888888888,0.5679012345679012,0,,,,,,8.333333333333332,0
20,101.70390000000002,1.0453000000000001,100.65860000000002,0,0.0011224489795918367,0,0.209,75,0,49,26,49,0,162842.7,0.4073086427524686,3749980.211345679,0.9259259259259259,0.6049382716049383,0,,,,,,0,0
21,99.8806,1.5566999999999998,98.3239,0,0.0011458333333333333,0.021,0.238,78,1,49,29,48,0,134114.1,0.43083950597792864,3749979.780506173,0.9629629629629629,0.5925925925925926,0,,,,,,3.4482758620689653,0
22,91.74810000000001,1.6523999999999999,90.09570000000001,0,0.001375,0,0.168,75,0,40,35,40,0,112758.79999999999,0.4485679022036493,3749979.331938271,0.9259259259259259,0.49382716049382713,0,,,,,,0,0
23,81.2709,0.9738,80.2971,0,0.0013414634146341464,0.031,0.165,78,2,43,35,41,0,97731.3,0.3852345668710768,3749978.946703704,0.9629629629629629,0.5061728395061729,0,,,,,,5.714285714285714,0
