localminute,use,gen,grid
2017-08-31 19:00:00-05,0.0,0.1486333333333333,2.51235
2017-08-31 20:00:00-05,0.0,0.0,2.115866666666667
2017-08-31 21:00:00-05,0.0,0.0022,2.8376333333333332
2017-08-31 22:00:00-05,0.0,0.003,3.12255
2017-08-31 23:00:00-05,0.0,0.0025166666666666666,2.86525
2017-09-01 00:00:00-05,0.0,0.0004666666666666666,2.01915
2017-09-01 01:00:00-05,0.0,0.0,1.6524666666666668
2017-09-01 02:00:00-05,0.0,0.0,1.09905
2017-09-01 03:00:00-05,0.0,0.0,1.230883333333333
2017-09-01 04:00:00-05,0.0,0.0,1.02215
2017-09-01 05:00:00-05,0.0,0.0,0.9366833333333332
2017-09-01 06:00:00-05,0.0,0.0,0.9435333333333332
2017-09-01 07:00:00-05,0.0,0.05435,0.9196
2017-09-01 08:00:00-05,0.0,0.418,1.98345
2017-09-01 09:00:00-05,0.0,0.9427166666666664,0.022266666666666664
2017-09-01 10:00:00-05,0.0,1.6242833333333333,-0.2495166666666666
2017-09-01 11:00:00-05,0.0,2.4758666666666667,0.11388333333333332
2017-09-01 12:00:00-05,0.0,3.211066666666667,-0.5784166666666666
2017-09-01 13:00:00-05,0.0,3.413883333333333,0.4294
2017-09-01 14:00:00-05,0.0,2.822583333333333,-0.6520333333333332
2017-09-01 15:00:00-05,0.0,1.5576333333333332,1.6304166666666668
2017-09-01 16:00:00-05,0.0,3.24315,0.4624833333333332
2017-09-01 17:00:00-05,0.0,2.3278166666666666,2.0831
2017-09-01 18:00:00-05,0.0,1.1466166666666668,3.2777833333333333
2017-09-01 19:00:00-05,0.0,0.14711666666666665,2.9077333333333333
2017-09-01 20:00:00-05,0.0,0.0,2.1749
2017-09-01 21:00:00-05,0.0,0.0022166666666666663,2.9103833333333333
2017-09-01 22:00:00-05,0.0,0.00225,2.7525166666666667
2017-09-01 23:00:00-05,0.0,0.00035,1.9773
2017-09-02 00:00:00-05,0.0,0.0,1.5269
2017-09-02 01:00:00-05,0.0,0.0,1.2195833333333332
2017-09-02 02:00:00-05,0.0,0.0,1.26305
2017-09-02 03:00:00-05,0.0,0.0,1.0854
2017-09-02 04:00:00-05,0.0,0.0,1.0326666666666668
2017-09-02 05:00:00-05,0.0,0.0,0.824183333333333
2017-09-02 06:00:00-05,0.0,0.0,0.9802666666666664
2017-09-02 07:00:00-05,0.0,0.05368333333333332,0.5151333333333332
2017-09-02 08:00:00-05,0.0,0.4116833333333333,0.22856666666666664
2017-09-02 09:00:00-05,0.0,0.92205,0.009566666666666666
2017-09-02 10:00:00-05,0.0,1.6035833333333331,-0.12866666666666665
2017-09-02 11:00:00-05,0.0,2.51665,0.03118333333333333
2017-09-02 12:00:00-05,0.0,3.297966666666667,-0.51445
2017-09-02 13:00:00-05,0.0,3.723966666666666,-1.4359666666666668
2017-09-02 14:00:00-05,0.0,3.1332166666666668,-0.4321333333333333
2017-09-02 15:00:00-05,0.0,3.414333333333333,-0.8531
2017-09-02 16:00:00-05,0.0,3.2321,0.1234
2017-09-02 17:00:00-05,0.0,2.32255,1.52545
2017-09-02 18:00:00-05,0.0,1.0999666666666668,2.0595166666666667
2017-09-02 19:00:00-05,0.0,0.10643333333333332,3.5805333333333333
2017-09-02 20:00:00-05,0.0,0.0,2.512283333333333
2017-09-02 21:00:00-05,0.0,0.0015833333333333333,2.6313
2017-09-02 22:00:00-05,0.0,0.0030666666666666663,3.2150166666666666
2017-09-02 23:00:00-05,0.0,0.0024333333333333334,2.8965666666666667
2017-09-03 00:00:00-05,0.0,0.0,1.6467666666666667
2017-09-03 01:00:00-05,0.0,0.0,1.4684666666666668
2017-09-03 02:00:00-05,0.0,0.0,1.38595
2017-09-03 03:00:00-05,0.0,0.0,1.265016666666667
2017-09-03 04:00:00-05,0.0,0.0,1.06855
2017-09-03 05:00:00-05,0.0,0.0,0.9208
2017-09-03 06:00:00-05,0.0,0.0,1.2751
2017-09-03 07:00:00-05,0.0,0.06741666666666667,0.649
2017-09-03 08:00:00-05,0.0,0.5312,0.3934833333333333
2017-09-03 09:00:00-05,0.0,0.9086833333333332,0.2402833333333333
2017-09-03 10:00:00-05,0.0,1.4916166666666668,0.5205333333333332
2017-09-03 11:00:00-05,0.0,1.9311666666666667,1.0486166666666668
2017-09-03 12:00:00-05,0.0,2.6395833333333334,0.9489
2017-09-03 13:00:00-05,0.0,4.032366666666666,0.2521333333333333
2017-09-03 14:00:00-05,0.0,2.688083333333333,1.0796
2017-09-03 15:00:00-05,0.0,2.5265666666666666,0.88125
2017-09-03 16:00:00-05,0.0,2.782516666666667,1.1326833333333333
2017-09-03 17:00:00-05,0.0,2.5146333333333333,1.0029166666666665
2017-09-03 18:00:00-05,0.0,0.8444,1.3817166666666667
2017-09-03 19:00:00-05,0.0,0.06366666666666666,2.316266666666667
2017-09-03 20:00:00-05,0.0,0.0,1.9727
2017-09-03 21:00:00-05,0.0,0.0016166666666666666,2.5268
2017-09-03 22:00:00-05,0.0,0.0012166666666666667,2.379033333333333
2017-09-03 23:00:00-05,0.0,0.00225,2.8399
2017-09-04 00:00:00-05,0.0,0.00018333333333333334,1.9684
2017-09-04 01:00:00-05,0.0,0.0,1.5400666666666667
2017-09-04 02:00:00-05,0.0,0.0,1.40195
2017-09-04 03:00:00-05,0.0,0.0,1.1819333333333333
2017-09-04 04:00:00-05,0.0,0.0,1.1122666666666667
2017-09-04 05:00:00-05,0.0,0.0,1.0406666666666669
2017-09-04 06:00:00-05,0.0,0.0,0.9270666666666664
2017-09-04 07:00:00-05,0.0,0.05246666666666666,1.015
2017-09-04 08:00:00-05,0.0,0.41515,0.4671666666666666
2017-09-04 09:00:00-05,0.0,0.9362166666666664,-0.2533666666666666
2017-09-04 10:00:00-05,0.0,1.62205,-0.3385666666666666
2017-09-04 11:00:00-05,0.0,2.506416666666667,-0.5998333333333332
2017-09-04 12:00:00-05,0.0,3.276066666666667,-1.4700833333333332
2017-09-04 13:00:00-05,0.0,3.815483333333333,1.51565
2017-09-04 14:00:00-05,0.0,3.84345,-0.3427333333333333
2017-09-04 15:00:00-05,0.0,3.8161166666666664,3.10665
2017-09-04 16:00:00-05,0.0,3.415033333333333,4.915366666666666
2017-09-04 17:00:00-05,0.0,2.6285833333333333,4.8156
2017-09-04 18:00:00-05,0.0,1.1615833333333332,3.5512333333333332
2017-09-04 19:00:00-05,0.0,0.10933333333333332,4.549483333333333
2017-09-04 20:00:00-05,0.0,0.0017833333333333332,3.951483333333333
2017-09-04 21:00:00-05,0.0,0.0048,3.8853
2017-09-04 22:00:00-05,0.0,0.004883333333333332,3.97715
2017-09-04 23:00:00-05,0.0,0.0020166666666666666,2.7317666666666667
2017-09-05 00:00:00-05,0.0,0.0,1.6560666666666668
2017-09-05 01:00:00-05,0.0,0.0,1.7414833333333333
2017-09-05 02:00:00-05,0.0,0.0,1.50775
2017-09-05 03:00:00-05,0.0,0.0,1.29925
2017-09-05 04:00:00-05,0.0,0.0,1.1656833333333332
2017-09-05 05:00:00-05,0.0,0.0,1.0503
2017-09-05 06:00:00-05,0.0,0.0,1.2083833333333331
2017-09-05 07:00:00-05,0.0,0.04428333333333333,0.9353333333333332
2017-09-05 08:00:00-05,0.0,0.43461666666666654,-0.11521666666666665
2017-09-05 09:00:00-05,0.0,0.9083666666666665,-0.07806666666666665
2017-09-05 10:00:00-05,0.0,1.5981333333333332,-0.22726666666666664
2017-09-05 11:00:00-05,0.0,2.4894333333333334,-0.9065666666666666
2017-09-05 12:00:00-05,0.0,2.9233833333333332,-1.4616166666666668
2017-09-05 13:00:00-05,0.0,3.5016833333333333,-1.7758333333333332
2017-09-05 14:00:00-05,0.0,3.5698333333333334,-1.8893833333333332
2017-09-05 15:00:00-05,0.0,3.785783333333333,-1.8350166666666667
2017-09-05 16:00:00-05,0.0,3.370916666666667,-0.11801666666666664
2017-09-05 17:00:00-05,0.0,2.612616666666667,1.3564833333333333
2017-09-05 18:00:00-05,0.0,0.8994666666666666,4.230933333333333
2017-09-05 19:00:00-05,0.0,0.09213333333333332,3.97205
2017-09-05 20:00:00-05,0.0,0.0014166666666666666,3.1214666666666666
2017-09-05 21:00:00-05,0.0,0.0023666666666666662,2.9679
2017-09-05 22:00:00-05,0.0,0.0036666666666666666,3.447366666666667
2017-09-05 23:00:00-05,0.0,0.0034166666666666664,3.291383333333333
2017-09-06 00:00:00-05,0.0,0.0006166666666666666,2.078683333333333
2017-09-06 01:00:00-05,0.0,8.333333333333332e-05,1.87355
2017-09-06 02:00:00-05,0.0,0.0,1.51295
2017-09-06 03:00:00-05,0.0,0.0,1.3454
2017-09-06 04:00:00-05,0.0,0.0,1.1450833333333332
2017-09-06 05:00:00-05,0.0,0.0,1.0020666666666664
2017-09-06 06:00:00-05,0.0,0.0,1.1720166666666667
2017-09-06 07:00:00-05,0.0,0.04131666666666666,0.8164
2017-09-06 08:00:00-05,0.0,0.416,0.21818333333333328
2017-09-06 09:00:00-05,0.0,0.9751166666666664,-0.5460833333333333
2017-09-06 10:00:00-05,0.0,1.6769833333333333,-1.0198166666666668
2017-09-06 11:00:00-05,0.0,2.5898,-1.374083333333333
2017-09-06 12:00:00-05,0.0,3.3832666666666666,-2.090266666666667
2017-09-06 13:00:00-05,0.0,3.8865166666666666,-2.8214
2017-09-06 14:00:00-05,0.0,4.102133333333333,-2.914833333333333
2017-09-06 15:00:00-05,0.0,4.016033333333333,-2.418633333333333
2017-09-06 16:00:00-05,0.0,3.6070166666666665,-1.1258833333333331
2017-09-06 17:00:00-05,0.0,2.801266666666667,-0.3318166666666666
2017-09-06 18:00:00-05,0.0,1.2512166666666669,1.009083333333333
2017-09-06 19:00:00-05,0.0,0.08491666666666665,1.3824333333333332
2017-09-06 20:00:00-05,0.0,0.0,1.6546833333333333
