dataid,totalAmountOfPv,baseValue,baseValueBattery,costOfSystem,costOfSystemWithBattery
26,6,0.040140245,0.070862971,7800,13770
77,3.7,0.057228238,0.087707507,6290,9640
93,6.105,0.042367627,0.074237435,7936.5,13906.5
114,3.5,0.047607799,0.07441219,5950,9300
171,6.25,0.041524765,0.072035884,8125,14095
187,5.25,0.041344309,0.077509221,6825,12795
252,5.145,0.037361721,0.070709927,6688.5,12658.5
370,6.105,0.04689428,0.082169131,7936.5,13906.5
545,3.15,0.047820871,0.077736823,5355,8705
585,4.995,0.040500902,0.077736659,6493.5,12463.5
624,4.5,0.043240636,0.08736826,5850,11820
744,5.92,0.050560248,0.089781231,7696,13666
781,5.8,0.035138304,0.062960012,7540,13510
890,6.25,0.054330143,0.09425026,8125,14095
974,6.5,0.034663773,0.059154036,8450,14420
1103,3.92,0.049523572,0.074419125,6664,10014
1169,3.885,0.048923206,0.073738519,6604.5,9954.5
1192,6.25,0.039099569,0.06782873,8125,14095
1283,6.5,0.043333544,0.073949078,8450,14420
1415,3.885,0.054758734,0.082534002,6604.5,9954.5
1629,6.3,0.039792033,0.068797947,8190,14160
1642,6.37,0.043330504,0.074568653,8281,14251
1697,5.98,0.041597986,0.073542927,7774,13744
1714,5.6,0.04142522,0.075396176,7280,13250
1718,5.88,0.038079472,0.067819719,7644,13614
1790,6.37,0.036842278,0.063402886,8281,14251
1792,6.25,0.03793358,0.065806008,8125,14095
1800,9.99,0.043333408,0.063253362,12987,18957
1801,12.425,0.034187848,0.050451883,12549.25,18519.25
2018,7.8,0.038324318,0.060888044,10140,16110
2072,5,0.040304669,0.077322958,6500,12470
2094,6.105,0.040585231,0.071114285,7936.5,13906.5
2129,6.25,0.042069426,0.072980746,8125,14095
2199,4.995,0.048742254,0.093554953,6493.5,12463.5
2233,6.25,0.038270854,0.0663911,8125,14095
2337,4.995,0.036451713,0.069964723,6493.5,12463.5
2557,5.17,0.037762405,0.071305264,6721,12691
2575,6.25,0.038944982,0.067560557,8125,14095
2755,6.125,0.039229181,0.06864183,7962.5,13932.5
2814,6.21,0.040944999,0.071223909,8073,14043
2818,5.39,0.038719398,0.071708523,7007,12977
2925,6.105,0.039240356,0.068757766,7936.5,13906.5
2945,5.145,0.047811936,0.090487762,6688.5,12658.5
2965,6.345,0.038478852,0.066328612,8248.5,14218.5
2980,5.145,0.03670998,0.069476458,6688.5,12658.5
