time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,biomass_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68636.79583333335,324.74999999999994,68312.04583333335,0,NaN,0,0,0,0,0,0,0,0,2,972000,NaN,,0,0.024691358024691357,,,,,,,0,0
1,65344.14999999998,4.75,65339.39999999998,0,NaN,0,0,0,0,0,0,0,0,2,903687.9541666664,0,,0,0.024691358024691357,,,,,,,0,0
2,57734.88333333332,4.533333333333333,57730.349999999984,0,NaN,0,0.862,0,1,0,0,1,0,2,838348.5541666668,0,,0,0.024691358024691357,,,,,,,0,0
3,57926.299999999996,3.9833333333333325,57922.316666666666,0,0.062,0,0,0,1,0,1,0,1,2,788577.8708333335,0.011938272044062614,,0.012345679012345678,0.024691358024691357,,,,,,,0,0
4,63410.202083333315,4.416666666666667,63405.78541666665,0.109,0.05566666666666667,14.194,0.862,130000,9,2,8,1,6,2,728830.3541666669,0.007641974836587906,,0.07407407407407407,0.024691358024691357,,,,,,,50,0
5,57282.816666666644,4.333333333333333,57278.48333333331,0.098,0.05566666666666667,12.704,5.173,129000,14,2,8,6,6,2,664188.1520833335,0.2310123462229967,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
6,58536.88333333334,20.08333333333333,58516.8,0.113,0.05566666666666667,13.691,5.173,121000,14,2,8,6,6,2,626142.86875,0.27229629550129175,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
7,64405.16666666664,831.3166666666665,63573.84999999998,0.108,0.055375,13.475,5.173,125000,16,2,10,6,8,2,554635.0687500001,0.28450617333874106,,0.09876543209876543,0.024691358024691357,,,,,,,300,0
8,74239.45000000003,20481.43333333333,53758.01666666669,0.104,0.0558,14.423,6.898,139000,16,3,8,8,4,3,482001.06875000015,0.2952469135634601,,0.04938271604938271,0.037037037037037035,,,,,,,266.66666666666663,0
9,79608.1833333333,49823.54999999997,29784.63333333334,0.097,0.05500000000000001,15.377,2.587,157000,23,7,20,3,8,7,442102.86875,0.3119012345559895,,0.09876543209876543,0.08641975308641975,,,,,,,42.857142857142854,0
10,92484,65718.78333333335,26765.216666666645,0,0.05600000000000001,0,5.173,0,11,0,5,6,1,6,348028.1229166666,0.32108641881495714,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
11,95953.45000000001,135900.03333333335,-39946.58333333334,0,0.05600000000000001,0,0.862,0,6,0,5,1,1,6,345770.1441287879,0.10618518572300673,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
12,93804.73333333332,91009.75000000001,2794.983333333308,0.091,0.05566666666666667,15.329,0.862,166000,13,6,12,1,2,6,259420.32746212126,0.04645678959786892,,0.024691358024691357,0.07407407407407407,,,,,,,16.666666666666664,0
13,84062.41666666667,71597.43333333332,12464.983333333352,0,0.05600000000000001,0,0.862,0,6,0,5,1,1,6,241700.12746212125,0.24793827161192894,,0.012345679012345678,0.07407407407407407,,,,,,,0,0
14,86139.88333333335,58416.549999999996,27723.33333333335,0.123,0.0558,20.303,1.724,164000,12,5,10,2,2,5,210196.29412878797,0.0464691361412406,,0.024691358024691357,0.06172839506172839,,,,,,,40,0
15,86480.91249999999,19152.466666666667,67328.44583333333,0.082,0.0558,13.429,2.587,164000,11,3,8,3,4,3,190317.4,0.31391358003020287,,0.04938271604938271,0.037037037037037035,,,,,,,100,0
