time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,biomass_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68636.79583333335,324.74999999999994,68312.04583333335,0,NaN,0,0,0,0,0,0,0,0,2,972000,NaN,,0,0.024691358024691357,,,,,,,0,0
1,65344.14999999998,4.75,65339.39999999998,0,NaN,0,0,0,0,0,0,0,0,2,903687.9541666664,0,,0,0.024691358024691357,,,,,,,0,0
2,57734.88333333332,4.533333333333333,57730.349999999984,0,NaN,0,0.862,0,1,0,0,1,0,2,838348.5541666668,0,,0,0.024691358024691357,,,,,,,0,0
3,57926.299999999996,3.9833333333333325,57922.316666666666,0,0.062,0,0,0,1,0,1,0,1,2,788577.8708333335,0.011938271578401327,,0.012345679012345678,0.024691358024691357,,,,,,,0,1
4,63410.202083333315,4.416666666666667,63405.78541666665,0.049,0.05566666666666667,1.715,0.862,0,13,6,12,1,6,2,728830.3541666669,0.007641974836587906,,0.07407407407407407,0.024691358024691357,,,,,,,16.666666666666664,0
5,57282.816666666644,4.333333333333333,57278.48333333331,0.048,0.05566666666666667,1.885,0,0,12,6,12,0,6,2,719074.7687500002,0.0820987643674016,,0.07407407407407407,0.024691358024691357,,,,,,,0,0
6,58536.88333333334,20.08333333333333,58516.8,0.045,0.05566666666666667,1.477,0,0,12,6,12,0,6,2,703052.7187500002,0.07225925987586379,,0.07407407407407407,0.024691358024691357,,,,,,,0,0
7,64405.16666666664,831.3166666666665,63573.84999999998,0.049,0.05522222222222222,1.877,0,0,18,9,18,0,9,2,685729.0687500001,0.06720987614244223,,0.1111111111111111,0.024691358024691357,,,,,,,0,0
8,74239.45000000003,20481.43333333333,53758.01666666669,0.033,0.0555,0.704,0,0,12,6,12,0,5,3,672751.4187500002,0.09619753155857325,,0.06172839506172839,0.037037037037037035,,,,,,,0,0
9,79608.1833333333,49823.54999999997,29784.63333333334,0.062,0.05493333333333334,2.557,0,0,30,15,30,0,9,8,645723.3520833334,0.05765432119369507,,0.1111111111111111,0.09876543209876543,,,,,,,0,0
10,92484,65718.78333333335,26765.216666666645,0.041,0.05537500000000001,0.887,0,0,16,8,16,0,3,7,650019.2729166668,0.1514320974238217,,0.037037037037037035,0.08641975308641975,,,,,,,0,0
11,95953.45000000001,135900.03333333335,-39946.58333333334,0.045,0.05508333333333334,1.239,0,0,24,12,24,0,4,10,619184.1607954544,0.07514814753085375,,0.04938271604938271,0.12345679012345678,,,,,,,0,0
12,93804.73333333332,91009.75000000001,2794.983333333308,0.068,0.05666666666666667,0.923,0,0,6,3,6,0,2,3,632427.1107954547,0.10855555534362793,,0.024691358024691357,0.037037037037037035,,,,,,,0,0
13,84062.41666666667,71597.43333333332,12464.983333333352,0.043,0.05566666666666667,0.871,0,0,12,6,12,0,3,5,682496.8274621214,0.03586419811472297,,0.037037037037037035,0.06172839506172839,,,,,,,0,0
14,86139.88333333335,58416.549999999996,27723.33333333335,0.039,0.0555,1.233,0,0,12,6,12,0,5,3,684115.8774621213,0.059259260073304176,,0.06172839506172839,0.037037037037037035,,,,,,,0,0
15,86480.91249999999,19152.466666666667,67328.44583333333,0.063,0.05525,3.015,0,0,16,8,16,0,7,3,711766.894128788,0.06404938315972686,,0.08641975308641975,0.037037037037037035,,,,,,,0,0
16,91356.6121212121,5770.783333333333,85585.82878787877,0.058,0.0551,3.77,0,0,20,10,20,0,10,2,717933.1107954547,0.10218518506735563,,0.12345679012345678,0.024691358024691357,,,,,,,0,0
