time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,15038.949999999997,320.2666666666666,14718.68333333333,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,225281.31666666665,NaN,,0,0.1,,,,,,,0,0
1,13297.216666666667,0,13297.216666666667,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,211984.09999999998,0,,0,0.1,,,,,,,0,0
2,11817.249999999996,0,11817.249999999996,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,200166.84999999998,0,,0,0.1,,,,,,,0,0
3,12625.216666666665,0,12625.216666666665,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,187541.63333333336,0,,0,0.1,,,,,,,0,0
4,16308.999999999995,0,16308.999999999995,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,171232.63333333333,0,,0.05,0.1,,,,,,,0,0
5,13511.949999999997,0,13511.949999999997,0.055,0.057,1.037,9.62,0,,18893,0,6,3,6,0,3,2,179827.23333333334,0.030949999985750765,,0.15,0.1,,,,,,,0,0
6,14174.133333333333,16.049999999999997,14158.083333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,165669.15000000002,0.15294999995967373,,0,0.1,,,,,,,0,0
7,18875.766666666666,451.1166666666665,18424.65,0.043,0.05625,0.583,10.123,0,,13693,0,8,4,8,0,4,2,167276.85,0,,0.2,0.1,,,,,,,0,0
8,19606.833333333336,5282.2,14324.633333333335,0,0.057999999999999996,0,0,0,,0,0,2,0,2,0,1,3,144868.95,0.16275000001769513,,0.05,0.15,,,,,,,0,0
9,19593.73333333333,13266.33333333333,6327.4,0.033,0.05566666666666667,0.322,5.064,0,,8778,0,12,6,12,0,3,5,144853.33333333334,0.05819999997038394,,0.15,0.25,,,,,,,0,0
10,20790.56666666666,17743.63333333333,3046.933333333327,0,0.054,0,0,0,,0,0,1,0,1,0,0,3,75116.70000000001,0.21309999999357387,,0,0.15,,,,,,,0,0
11,20976.86666666667,35344.38333333334,-14367.51666666667,0,0.057999999999999996,0,0,0,,0,0,2,0,2,0,1,3,34735.63333333334,0.027200000069569796,,0.05,0.15,,,,,,,0,0
12,19568.55,23398.01666666667,-3829.466666666671,0.031,0.05666666666666667,0.463,4.85,0,,14258,0,6,3,6,0,2,3,54440.183333333334,0.05814999993890524,,0.1,0.15,,,,,,,0,0
13,17558.449999999997,18639.149999999994,-1080.699999999997,0,0.054,0,0,0,,0,0,1,0,1,0,0,3,85171.71666666666,0.12290000001667067,,0,0.15,,,,,,,0,0
14,20193.183333333334,14656.683333333334,5536.5,0.024,0.05666666666666667,0.294,3.683,0,,11882,0,6,3,6,0,2,3,114844.48333333334,0.027249999984633178,,0.1,0.15,,,,,,,0,0
15,19816.55,6113.199999999999,13703.35,0.029,0.05666666666666667,0.377,4.59,0,,12946,0,6,3,6,0,2,3,170550.45,0.11514999996870756,,0.1,0.15,,,,,,,0,0
16,19725.149999999998,2152.366666666667,17572.783333333333,0.04,0.058,0.504,6.39,0,,12447,0,4,2,4,0,2,2,152384.78333333333,0.11999999999534339,,0.1,0.1,,,,,,,0,0
17,25771.7,256.9333333333333,25514.766666666666,0.039,0.05566666666666667,1.432,20.509,0,,36851,0,12,6,12,0,6,2,178548.71666666673,0.09389999997802079,,0.3,0.1,,,,,,,0,0
18,25342.166666666668,1040.0166666666667,24302.15,0.028,0.0558,0.929,12.956,0,,32880,0,10,5,10,0,5,2,190983.60000000006,0.27010000008158386,,0.25,0.1,,,,,,,0,0
19,27099.633333333328,1677.1166666666668,25422.516666666663,0.029,0.058,0.361,5.519,0,,12473,0,4,2,4,0,2,2,178861.93333333335,0.21234999998705462,,0.1,0.1,,,,,,,0,0
20,23072.866666666665,1040.3333333333333,22032.533333333333,0.047,0.058,0.669,8.627,0,,14352,0,4,2,4,0,2,2,173939.3666666667,0.0866499999538064,,0.1,0.1,,,,,,,0,0
21,22811.649999999998,1550.4,21261.249999999996,0.021,0.058,0.274,3.593,0,,12898,0,4,2,4,0,2,2,169977.00000000003,0.10210000001825392,,0.1,0.1,,,,,,,0,0
22,21271.66666666666,1643.3833333333334,19628.283333333326,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,149032.30000000002,0.08235000004060566,,0.05,0.1,,,,,,,0,0
23,15545.466666666667,963.4166666666665,14582.050000000001,0.038,0.058,0.594,5.761,0,,15538,0,4,2,4,0,2,2,152026.01666666666,0.030949999985750765,,0.1,0.1,,,,,,,0,0
