time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,total_transaction_cost,total_expenditure_hourly,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,40371.08333333333,0,40371.08333333333,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,2,499628.91666666674,NaN,,0,0.044444444444444446,,,,,,,0,
1,31724.950000000004,0,31724.950000000004,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,467903.9666666668,0,,0,0.044444444444444446,,,,,,,0,
2,36235.35,0,36235.35,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,431668.6166666668,0,,0,0.044444444444444446,,,,,,,0,
3,31062.283333333326,0,31062.283333333326,0.059,0.058,0.137,2.0780000016093254,0.705,0.705,0,12040,12040,0,4,2,4,0,2,2,417610.6666666666,0.04617777781095356,,0.044444444444444446,0.044444444444444446,,,,,,,0,
4,34345.866666666654,0,34345.866666666654,0.041,0.057,0.203,2.6939999982714653,0.673,0.673,0,16284,16284,0,6,3,6,0,3,2,403729.73333333345,0.05986666661920026,,0.06666666666666667,0.044444444444444446,,,,,,,0,
5,29980.666666666664,0,29980.666666666664,0.035,0.057,0.203,2.446000002324581,0.425,0.425,0,12148,12148,0,6,3,6,0,3,2,389013.6833333334,0.05435555556323379,,0.06666666666666667,0.044444444444444446,,,,,,,0,
6,32539.71666666667,16.049999999999997,32523.66666666667,0.022,0.058,0.137,1.5219999998807907,0.149,0.149,0,6728,6728,0,4,2,4,0,2,2,365996.95000000007,0.03382222226355225,,0.044444444444444446,0.044444444444444446,,,,,,,0,
7,39962.18333333334,483.38333333333316,39478.80000000001,0.045,0.05522222222222222,0.592,7.00899999961257,1.095,1.095,0,24082,24082,0,18,9,18,0,9,2,361386.6166666667,0.1557555555482395,,0.2,0.044444444444444446,,,,,,,0,
8,44210.700000000004,11456.1,32754.600000000006,0.054,0.05625,0.267,3.5330000035464764,0.868,0.863,0,16172,16079,0,8,4,8,0,3,3,365760.8833333333,0.07851111114723608,,0.06666666666666667,0.06666666666666667,,,,,,,0,
9,50091.38333333333,28330.76666666666,21760.616666666672,0.072,0.055200000000000006,0.657,8.549999997019768,2.074,1.984,0,28957,27699,0,20,10,20,0,6,6,395375.08333333343,0.18999999994412065,,0.13333333333333333,0.13333333333333333,,,,,,,0,
10,52490.066666666666,37707.79999999999,14782.266666666677,0,0.056999999999999995,0.17099999999999999,1.7089999988675117,0,0,0,0,0,0,3,0,3,0,1,4,340677.3000000001,0.03797777777072042,,0.022222222222222223,0.08888888888888889,,,,,,,0,
11,52809.16666666666,78548.49999999999,-25739.33333333333,0.073,0.05522222222222222,0.592,8.216000005602837,2.619,2.299,0,36059,31652,0,18,9,18,0,5,6,404938.56666666677,0.18257777788676322,,0.1111111111111111,0.13333333333333333,,,,,,,0,
12,49628.1,52611.46666666665,-2983.366666666654,0,0.054,0.054,0.5439999997615814,0,0,0,0,0,0,1,0,1,0,0,3,362194.4666666667,0.012088888906873763,,0,0.06666666666666667,,,,,,,0,
13,51573.53333333334,41045.84999999999,10527.683333333349,0,0.057999999999999996,0.11599999999999999,1.1639999970793724,0,0,0,0,0,0,2,0,2,0,1,3,343509.8500000001,0.02586666657589376,,0.022222222222222223,0.06666666666666667,,,,,,,0,
14,47687.350000000006,33390.23333333332,14297.116666666683,0.056,0.0558,0.332,4.866999998688698,1.572,1.547,0,28104,27663,0,10,5,10,0,4,3,363223.58333333326,0.10815555555745959,,0.08888888888888889,0.06666666666666667,,,,,,,0,
15,47271.983333333344,9863.416666666666,37408.56666666668,0.04,0.058,0.137,1.8770000003278255,0.504,0.504,0,12709,12709,0,4,2,4,0,2,2,334166.6500000001,0.04171111108735204,,0.044444444444444446,0.044444444444444446,,,,,,,0,
16,48020.75000000002,2640.233333333332,45380.51666666669,0.068,0.055090909090909086,0.732,12.233999993652105,4.917,4.917,0,72370,72370,0,23,12,23,0,11,2,383481.7166666666,0.27186666656052694,,0.24444444444444444,0.044444444444444446,,,,,,,0,
17,68315.83333333333,28.21666666666666,68287.61666666667,0.058,0.055090909090909086,0.722,11.196000002324581,3.983,3.983,0,68900,68900,0,22,11,22,0,11,2,392029.65,0.24880000005941838,,0.24444444444444444,0.044444444444444446,,,,,,,0,
18,63994.549999999996,0.7666666666666666,63993.783333333326,0.046,0.05522222222222222,0.592,8.641000002622604,2.726,2.726,0,59319,59319,0,18,9,18,0,9,2,404483.6333333334,0.1920222222688608,,0.2,0.044444444444444446,,,,,,,0,
19,61677.166666666664,1.75,61675.416666666664,0.045,0.05566666666666667,0.397,6.522999998182058,1.587,1.587,0.872,35221,35221,6000,13,6,12,1,6,2,393922.1166666668,0.1449555555009283,,0.13333333333333333,0.044444444444444446,,,,,,,16.666666666666664,
20,52577.23333333333,1.4333333333333331,52575.799999999996,0.047,0.05566666666666667,0.397,5.8900000005960464,1.921,1.921,0,40816,40816,0,12,6,12,0,6,2,390983.1000000001,0.13088888890342787,,0.13333333333333333,0.044444444444444446,,,,,,,0,
21,51721.149999999994,5.3500000000000005,51715.799999999996,0.043,0.05566666666666667,0.397,5.482999999076128,1.514,1.514,0,35080,35080,0,12,6,12,0,6,2,384948.28333333344,0.12184444442391396,,0.13333333333333333,0.044444444444444446,,,,,,,0,
22,53200.450000000004,4.716666666666667,53195.73333333334,0.05,0.05566666666666667,0.397,5.724999997764826,1.757,1.757,0,35373,35373,0,12,6,12,0,6,2,379273.15000000014,0.12722222215961665,,0.13333333333333333,0.044444444444444446,,,,,,,0,
23,45464.933333333334,5.216666666666666,45459.71666666667,0.053,0.057,0.203,3.1089999973773956,1.087,1.087,0,20587,20587,0,6,3,6,0,3,2,358311.6166666667,0.06908888882026076,,0.06666666666666667,0.044444444444444446,,,,,,,0,
24,33018.31666666666,0.9333333333333333,33017.383333333324,0.047,0.0558,0.332,4.806000001728535,1.488,1.488,0,31964,31964,0,10,5,10,0,5,2,362800.6666666668,0.10680000006686896,4.933333333333334,0.1111111111111111,0.044444444444444446,2.2,1.3777777777777778,2.3335555553785525,0.022222222222222223,0,30.176,0,
25,28001.416666666657,0,28001.416666666657,0.07,0.05566666666666667,0.397,6.649999998509884,2.683,2.683,0,38325,38325,0,12,6,12,0,6,2,377073.55000000016,0.1477777777472511,,0.13333333333333333,0.044444444444444446,,,,,,,0,
26,27164.633333333317,0,27164.633333333317,0.054,0.0558,0.332,4.723000004887581,1.404,1.404,0,26225,26225,0,10,5,10,0,5,2,379618.0333333334,0.10495555563829839,,0.1111111111111111,0.044444444444444446,,,,,,,0,
27,28018.999999999996,0,28018.999999999996,0.044,0.0558,0.332,4.481000002473593,1.163,1.163,0,26544,26544,0,10,5,10,0,5,2,380954.4500000002,0.09957777784438804,,0.1111111111111111,0.044444444444444446,,,,,,,0,
28,27857.466666666667,0,27857.466666666667,0.05,0.057,0.203,2.7780000008642673,0.756,0.756,0,15026,15026,0,6,3,6,0,3,2,370686.48333333334,0.06173333333572373,,0.06666666666666667,0.044444444444444446,,,,,,,0,
29,28357.16666666667,0,28357.16666666667,0.055,0.055375,0.527,7.117999996989965,1.852,1.852,0,33946,33946,0,16,8,16,0,8,2,380612.7333333334,0.15817777771735564,,0.17777777777777778,0.044444444444444446,,,,,,,0,
30,30405.733333333334,4.466666666666667,30401.266666666666,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,350211.46666666673,0,,0,0.044444444444444446,,,,,,,0,
31,38320.133333333324,122.34999999999997,38197.783333333326,0.043,0.05542857142857143,0.461,6.063999999314547,1.448,1.448,0,33365,33365,0,14,7,14,0,7,2,354232.78333333344,0.13475555554032326,,0.15555555555555556,0.044444444444444446,,,,,,,0,
32,45855.216666666674,2596.4500000000003,43258.76666666668,0.045,0.05542857142857143,0.461,5.89300000295043,1.277,1.277,0,28101,28101,0,14,7,14,0,7,2,343049.45000000007,0.13095555565087125,,0.15555555555555556,0.044444444444444446,,,,,,,0,
33,53069.933333333334,8353.216666666667,44716.71666666667,0.06,0.055,0.786,11.67000000178814,3.807,3.807,0,63884,63884,0,24,12,24,0,12,2,377626.8000000001,0.2593333333497867,,0.26666666666666666,0.044444444444444446,,,,,,,0,
34,49362.95,20219.03333333333,29143.916666666668,0.055,0.0558,0.332,4.918999999761581,1.611,1.599,0,29213,29004,0,10,5,10,0,4,3,389332.60000000003,0.1093111110967584,,0.08888888888888889,0.06666666666666667,,,,,,,0,
35,46295.7,24054.08333333333,22241.61666666667,0,0.057999999999999996,0.11599999999999999,1.1620000004768372,0,0,0,0,0,0,2,0,2,0,1,3,359555.0833333335,0.025822222232818604,,0.022222222222222223,0.06666666666666667,,,,,,,0,
36,37921.34999999999,19237.383333333328,18683.966666666664,0.058,0.0555,0.396,5.835999995470047,1.876,1.868,0,32142,31995,0,12,6,12,0,5,3,380544.1666666667,0.12968888878822327,,0.1111111111111111,0.06666666666666667,,,,,,,0,
37,42255.86666666667,19437.816666666662,22818.050000000007,0.049,0.05666666666666667,0.202,2.6180000007152557,0.608,0.597,0,12359,12120,0,6,3,6,0,2,3,372082.8833333334,0.058177777798846364,,0.044444444444444446,0.06666666666666667,,,,,,,0,
38,44140.549999999996,31434.216666666653,12706.333333333343,0.045,0.05557142857142857,0.462,5.475000001490116,0.887,0.853,0,19649,18897,0,14,7,14,0,3,6,395445.4833333334,0.12166666670236737,,0.06666666666666667,0.13333333333333333,,,,,,,0,
39,47011.58333333334,16985.583333333332,30026.00000000001,0.046,0.05625,0.267,3.855000000447035,1.185,1.185,0,26011,26011,0,8,4,8,0,4,2,373891.93333333347,0.08566666668048128,,0.08888888888888889,0.044444444444444446,,,,,,,0,
