time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,15038.949999999997,320.2666666666666,14718.68333333333,0,NaN,0,0,0,0,0,0,0,0,0,0,1,4,0,NaN,,0.05,0.2,,,,,,,0,0
1,13297.216666666667,0,13297.216666666667,0,0.062,0,0,0,0,0,0,1,0,1,0,1,2,0,0,,0.05,0.1,,,,,,,0,0
2,11817.249999999996,0,11817.249999999996,0,0.062,0,0,0,0,0,0,1,0,1,0,1,2,0,0.030949999985750765,,0.05,0.1,,,,,,,0,0
3,12625.216666666665,0,12625.216666666665,0,0.062,0,0,0,0,0,0,1,0,1,0,1,2,0,0.030949999985750765,,0.05,0.1,,,,,,,0,0
4,16308.999999999995,0,16308.999999999995,0,NaN,0,0,0.862,0,0,NaN,1,0,0,1,0,2,0,0.030949999985750765,,0,0.1,,,,,,,0,0
5,13511.949999999997,0,13511.949999999997,0.024,0.058,0.293,2.968,0,NaN,0,0,4,2,4,0,2,2,0,0.048349999997299165,,0.1,0.1,,,,,,,0,0
6,14174.133333333333,16.049999999999997,14158.083333333334,0,NaN,0,0,0,0,0,0,0,0,0,0,0,2,0,0.08330000005662441,,0,0.1,,,,,,,0,0
7,18875.766666666666,451.1166666666665,18424.65,0.036,0.05625,0.492,8.543,0,NaN,0,0,8,4,8,0,4,2,0,0,,0.2,0.1,,,,,,,0,0
8,19606.833333333336,5282.2,14324.633333333335,0.025,0.05666666666666667,0.153,3.444,0,NaN,0,0,6,3,6,0,2,3,0,0.15814999997382984,,0.1,0.15,,,,,,,0,0
9,19593.73333333333,13266.33333333333,6327.4,0.036,0.05566666666666667,0.348,5.473,0,NaN,0,0,12,6,12,0,3,5,0,0.10854999994626269,,0.15,0.25,,,,,,,0,0
10,20790.56666666666,17743.63333333333,3046.933333333327,0,0.054,0,0,0,0,0,0,1,0,1,0,0,3,0,0.21415000001434237,,0,0.15,,,,,,,0,0
11,20976.86666666667,35344.38333333334,-14367.51666666667,0,0.057999999999999996,0,0,0,0,0,0,2,0,2,0,1,3,0,0.02725000004284084,,0.05,0.15,,,,,,,0,0
12,19568.55,23398.01666666667,-3829.466666666671,0.038,0.05666666666666667,0.507,6.013,0,NaN,0,0,6,3,6,0,2,3,0,0.05814999993890524,,0.1,0.15,,,,,,,0,0
13,17558.449999999997,18639.149999999994,-1080.699999999997,0,0.054,0,0,0,0,0,0,1,0,1,0,0,3,0,0.12480000004870817,,0,0.15,,,,,,,0,0
14,20193.183333333334,14656.683333333334,5536.5,0.037,0.05666666666666667,0.454,5.684,0,NaN,0,0,6,3,6,0,2,3,0,0.027249999984633178,,0.1,0.15,,,,,,,0,0
15,19816.55,6113.199999999999,13703.35,0.076,0.05666666666666667,0.983,11.954,0,NaN,0,0,6,3,6,0,2,3,0,0.12274999998044223,,0.1,0.15,,,,,,,0,0
16,19725.149999999998,2152.366666666667,17572.783333333333,0.041,0.058,0.51,6.41,0,NaN,0,0,4,2,4,0,2,2,0,0.15015000000130385,,0.1,0.1,,,,,,,0,0
17,25771.7,256.9333333333333,25514.766666666666,0.037,0.05566666666666667,1.368,19.584,0,NaN,0,0,12,6,12,0,6,2,0,0.09414999996079132,,0.3,0.1,,,,,,,0,0
18,25342.166666666668,1040.0166666666667,24302.15,0.029,0.0558,0.954,13.309,0,NaN,0,0,10,5,10,0,5,2,0,0.2668000000412576,,0.25,0.1,,,,,,,0,0
